,learning_rate,max_bin,max_depth,n_estimators,subsample,acc_test,acc_train,roc_auc_test,roc_auc_train
178,0.005,256,12,500,0.8,0.7633861800777745,0.9384488819086082,0.8366596796570639,0.9827764959508232
179,0.005,256,12,500,1.0,0.7553096021537541,0.932091840550445,0.826744712136636,0.9799951467425742
180,0.005,256,13,100,0.2,0.7648818426562968,0.841447909655224,0.8388753348538671,0.9225349683104128
181,0.005,256,13,100,0.4,0.7657792402034101,0.8780195946451275,0.8390269228951992,0.9501332386069604
182,0.005,256,13,100,0.6,0.7690696978761591,0.9006805773689328,0.8393811055797287,0.9631468461187612
183,0.005,256,13,100,0.8,0.7678731678133414,0.9155635330192208,0.8367641984482539,0.9690511094185816
184,0.005,256,13,100,1.0,0.7448399641040981,0.9031486051903374,0.8142425465931885,0.9631009021572832
185,0.005,256,13,200,0.2,0.7693688303918635,0.8487024156757161,0.8408286192494978,0.9313588489859688
186,0.005,256,13,200,0.4,0.7654801076877057,0.889537057811682,0.8388162745780233,0.9592568121795194
187,0.005,256,13,200,0.6,0.7642835776248879,0.914292124747588,0.8383983783837959,0.9716291395375052
188,0.005,256,13,200,0.8,0.7657792402034101,0.9282776157355472,0.8364202170840975,0.9769995713686808
189,0.005,256,13,200,1.0,0.7424469039784625,0.9217709969336624,0.8163100141887839,0.9736150999936144
190,0.005,256,13,300,0.2,0.7675740352976369,0.8558073442524867,0.8412259338324464,0.9389504873326446
191,0.005,256,13,300,0.4,0.7663775052348191,0.9015780420312616,0.839265490615501,0.966770478913948
192,0.005,256,13,300,0.6,0.7657792402034101,0.9288759255104332,0.837549879087508,0.9783797024656974
193,0.005,256,13,300,0.8,0.7651809751720012,0.9406925435644304,0.8361023654177386,0.9830620264287298
194,0.005,256,13,300,1.0,0.7451390966198026,0.937327051080697,0.8187626263710932,0.9821832293063004
195,0.005,256,13,500,0.2,0.7654801076877057,0.8695684690748635,0.8407104986978104,0.9531639067997376
196,0.005,256,13,500,0.4,0.7609931199521388,0.9246877570862314,0.837798648128183,0.9790691527432336
197,0.005,256,13,500,0.6,0.7618905174992522,0.9518360631216812,0.8360744460146126,0.9890395964681568
198,0.005,256,13,500,0.8,0.7645827101405923,0.9590905691421734,0.8350478710381293,0.9919651316319668
199,0.005,256,13,500,1.0,0.746036494166916,0.9546780345523896,0.820562890961129,0.9903854290051805
200,0.005,256,14,100,0.2,0.7624887825306611,0.846683120185476,0.8382034794735116,0.9275274224034794
201,0.005,256,14,100,0.4,0.766975770266228,0.8889387480367961,0.8388415094231565,0.9593274900340646
202,0.005,256,14,100,0.6,0.769667962907568,0.9213970533243588,0.838412159114826,0.9737706516820368
203,0.005,256,14,100,0.8,0.7666766377505235,0.9344850796499888,0.8353664385866196,0.9801812158711988
204,0.005,256,14,100,1.0,0.7301824708345798,0.9232667713708772,0.807744842427184,0.9748843145145286
205,0.005,256,14,200,0.2,0.7699670954232725,0.8526662179343355,0.8405637428608654,0.9367468887536834
206,0.005,256,14,200,0.4,0.7660783727191146,0.9038964924089448,0.8388363192777036,0.9685353557297636
207,0.005,256,14,200,0.6,0.7648818426562968,0.9362800089746466,0.8373021838700302,0.9816646453710124
208,0.005,256,14,200,0.8,0.7636853125934789,0.9483209931942264,0.8343899753593371,0.9866447604844076
209,0.005,256,14,200,1.0,0.7397547113371223,0.942562261610949,0.811113962708268,0.9839946317943312
210,0.005,256,14,300,0.2,0.7687705653604546,0.8608929773390173,0.8412427570625352,0.9449038828162516
211,0.005,256,14,300,0.4,0.7690696978761591,0.9166105751252712,0.8385045079097817,0.9757278622036448
212,0.005,256,14,300,0.6,0.7645827101405923,0.9492184578565552,0.8365476441034938,0.987241998423385
213,0.005,256,14,300,0.8,0.7624887825306611,0.9599880338045024,0.8341487230810423,0.9910086873128936
214,0.005,256,14,300,1.0,0.7415495064313491,0.9592401465858948,0.8123127073373624,0.9901531362464542
215,0.005,256,14,500,0.2,0.7672749027819324,0.8794405803604817,0.8398707689576326,0.9593344481894188
216,0.005,256,14,500,0.4,0.7615913849835477,0.9410664871737342,0.836900573994293,0.9865397840698692
217,0.005,256,14,500,0.6,0.7612922524678433,0.9671677511031336,0.835337803301362,0.9948435482260798
218,0.005,256,14,500,0.8,0.7612922524678433,0.9744970458454864,0.8326865338275783,0.9966969681281134
219,0.005,256,14,500,1.0,0.7409512413999402,0.9718046518584996,0.8151470636662614,0.99575605101102
220,0.005,256,15,100,0.2,0.7627879150463656,0.8510956547752598,0.8367631246250568,0.931890420732135
221,0.005,256,15,100,0.4,0.7654801076877057,0.9011293097000972,0.8378004378335115,0.9672707165875308
222,0.005,256,15,100,0.6,0.7648818426562968,0.9391967691272156,0.8369331466312735,0.9824899922261072
223,0.005,256,15,100,0.8,0.7639844451091834,0.9537805698900604,0.8343484541957137,0.9880364139287146
224,0.005,256,15,100,1.0,0.7274902781932396,0.945479021763518,0.806840325354111,0.9851387337598108
225,0.005,256,15,200,0.2,0.7657792402034101,0.858350160795752,0.839317928981629,0.9416938911020498
226,0.005,256,15,200,0.4,0.7648818426562968,0.9166853638471318,0.837262810352801,0.975810934971586
227,0.005,256,15,200,0.6,0.7621896500149566,0.9534066262807568,0.8360794571895327,0.9889201667791532
228,0.005,256,15,200,0.8,0.7624887825306611,0.9651484556128936,0.8327198223466903,0.993002377809758
229,0.005,256,15,200,1.0,0.7268920131618307,0.9575200059830976,0.805492140330079,0.9892688799924932
230,0.005,256,15,300,0.2,0.7681723003290458,0.8668760750878768,0.8403167635255191,0.9502086372678712
231,0.005,256,15,300,0.4,0.7651809751720012,0.929175080397876,0.8371978440493728,0.9822963496711566
232,0.005,256,15,300,0.6,0.7618905174992522,0.962979582678932,0.8354630826743638,0.9930813450423052
233,0.005,256,15,300,0.8,0.7594974573736165,0.974945778176651,0.8322616577825694,0.9959032014539904
234,0.005,256,15,300,1.0,0.7325755309602153,0.9706080323087278,0.8080118664622107,0.9937362394647152
235,0.005,256,15,500,0.2,0.7633861800777745,0.8870690299902775,0.8388671022093555,0.9646650663953448
236,0.005,256,15,500,0.4,0.7627879150463656,0.9549771894398325,0.8357179367131562,0.991502828210483
237,0.005,256,15,500,0.6,0.759796589889321,0.979059157878992,0.833854137583955,0.9978056192988712
238,0.005,256,15,500,0.8,0.7577026622793898,0.9843691571311046,0.8308406317516634,0.9989344513575048
239,0.005,256,15,500,1.0,0.734968591085851,0.983097748859472,0.8094024675025306,0.9988418251093828
240,0.005,256,16,100,0.2,0.7639844451091834,0.8546107247027148,0.8378015116567088,0.9350594913333378
241,0.005,256,16,100,0.4,0.7657792402034101,0.9098048014359434,0.8375097896881476,0.9731280962392982
242,0.005,256,16,100,0.6,0.7606939874364343,0.9518360631216812,0.8360590545487867,0.98808959571417
243,0.005,256,16,100,0.8,0.7651809751720012,0.9669433849375514,0.8333540939151451,0.99305718167323
244,0.005,256,16,100,1.0,0.7230032904576728,0.9567721187644904,0.7964815109121913,0.9898174555909716
245,0.005,256,16,200,0.2,0.76308704756207,0.8613417096701818,0.8394551993803325,0.9450067113757606
246,0.005,256,16,200,0.4,0.7657792402034101,0.9272305736294968,0.8371310880406163,0.9812474804653704
247,0.005,256,16,200,0.6,0.759198324857912,0.964400568394286,0.8349565960663707,0.9930708518755496
248,0.005,256,16,200,0.8,0.7618905174992522,0.9767407075013088,0.8318231799770631,0.9963714114768036
249,0.005,256,16,200,1.0,0.7239006880047861,0.9721038067459428,0.800736356360398,0.9940743812040848
250,0.005,256,16,300,0.2,0.7633861800777745,0.8718869194525466,0.8401714394528369,0.953776850928614
251,0.005,256,16,300,0.4,0.7636853125934789,0.9404681773988482,0.8369546230952165,0.9872476924765604
252,0.005,256,16,300,0.6,0.7606939874364343,0.9736743699050184,0.8344468879887863,0.996097806069006
253,0.005,256,16,300,0.8,0.7606939874364343,0.9828733826938898,0.8309283273127646,0.9981926806738732
254,0.005,256,16,300,1.0,0.724498953036195,0.979283524044574,0.8028423026205581,0.9968350573076808
255,0.005,256,16,500,0.2,0.7639844451091834,0.8934260713484407,0.8389973927572774,0.9684519697329638
256,0.005,256,16,500,0.4,0.7627879150463656,0.9644753571161468,0.835837846970172,0.9947195767186297
257,0.005,256,16,500,0.6,0.7583009273107987,0.9846683120185477,0.8324774962451982,0.9991335306704971
258,0.005,256,16,500,0.8,0.7586000598265031,0.98893126916461,0.8292538790073293,0.9997085741075092
259,0.005,256,16,500,1.0,0.7307807358659887,0.988632114277167,0.8064652031172371,0.9995320472723204
260,0.005,256,17,100,0.2,0.7633861800777745,0.8570039638022586,0.8369914910249856,0.9371366237607268
261,0.005,256,17,100,0.4,0.7660783727191146,0.9181811382843468,0.8366389190752521,0.9775849737315092
262,0.005,256,17,100,0.6,0.7639844451091834,0.9607359210231096,0.8351888998180227,0.9919701656671908
263,0.005,256,17,100,0.8,0.7612922524678433,0.9765163413357266,0.8312987963157842,0.996068765279136
264,0.005,256,17,100,1.0,0.7185163027221059,0.9661207089970832,0.7934291684742691,0.9938248608581476
265,0.005,256,17,200,0.2,0.7624887825306611,0.8658290329818263,0.8388313081027835,0.9476009175278708
266,0.005,256,17,200,0.4,0.7654801076877057,0.9355321217560392,0.8360246922064776,0.9851696315493412
267,0.005,256,17,200,0.6,0.7612922524678433,0.9738987360706004,0.8340327501757491,0.9958204419149076
268,0.005,256,17,200,0.8,0.7577026622793898,0.9838456360780794,0.8301462260841677,0.9982951736310344
